## Classical Chinese Character Frequency List
## 古汉语单字频率列表
## 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。
## 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html
## Columns are tab delimited. 行间分隔符为Tab键。
## http://lingua.mtsu.edu/chinese-computing/statistics/index.html
## http://lingua.mtsu.edu/chinese-computing/statistics/char/download.php?Which=CL
id	character	occurrences	frequency	pinyins	traductions
170	作	77432	44.7349694769	zuo4	to regard as/to take (somebody) for/to do/to make
171	北	76841	44.8525557325	bei3	north
172	定	76215	44.9691840489	ding4	to set/to fix/to determine/to decide/to order
173	县	76108	45.0856486282	xian4	a district/county
174	张	76082	45.2020734209	zhang1	(a measure word)/(a surname)/open up
175	女	76035	45.3184262916	nu:3/nv3	female/woman
176	因	76016	45.4347500875	yin1	cause/reason/because
177	阳	75551	45.5503623152	yang2	positive (electric.)/sun
178	面	75143	45.6653501993	mian4	fade/side/surface/aspect/top/face/flour/noodles, flour/noodles
179	数	75055	45.780203421	shu3/shu4/shuo4	to count, number/figure/to count/to calculate/several, frequently/repeatedly
180	府	74619	45.8943894519	fu3	prefecture/mansion
181	江	73325	46.006595334	jiang1	river
182	即	73297	46.118758369	ji2	namely/right away/to approach/to draw near
183	德	72747	46.2300797642	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind
184	亦	72508	46.3410354287	yi4	also
185	把	72372	46.4517829786	ba3/ba4	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle
186	河	72338	46.5624784999	he2	river
187	本	72334	46.6731679002	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
188	守	71868	46.7831442021	shou3	to guard
189	礼	71446	46.8924747367	li3	gift/propriety/rite
190	九	71288	47.0015634912	jiu3	nine/9
191	世	70622	47.1096330965	shi4	life/age/generation/era/world/lifetime
192	君	70511	47.2175328435	jun1	monarch/lord/gentleman/ruler
193	众	70286	47.3250882834	zhong4	multitude
