# http://lingua.mtsu.edu/chinese-computing/phonology/hz2py.php
id	character	syllable	phonemes
530	弟	di	ti
531	递	di	ti
532	缔	di	ti
533	颠	dian	tian
534	掂	dian	tian
535	滇	dian	tian
536	碘	dian	tian
537	点	dian	tian
538	典	dian	tian
539	靛	dian	tian
540	垫	dian	tian
541	电	dian	tian
542	佃	dian	tian
543	甸	dian	tian
544	店	dian	tian
545	惦	dian	tian
546	奠	dian	tian
547	淀	dian	tian
548	殿	dian	tian
549	碉	diao	tiau
550	叼	diao	tiau
551	雕	diao	tiau
552	凋	diao	tiau
553	刁	diao	tiau
554	掉	diao	tiau
555	吊	diao	tiau
556	钓	diao	tiau
557	调	diao	tiau
558	跌	die	ti«
559	爹	die	ti«
560	碟	die	ti«
561	蝶	die	ti«
562	迭	die	ti«
563	谍	die	ti«
564	叠	die	ti«
565	丁	ding	ti«N
566	盯	ding	ti«N
567	叮	ding	ti«N
568	钉	ding	ti«N
569	顶	ding	ti«N
570	鼎	ding	ti«N
571	锭	ding	ti«N
572	定	ding	ti«N
573	订	ding	ti«N
574	丢	diu	ti«u
575	东	dong	tuN
576	冬	dong	tuN
577	董	dong	tuN
578	懂	dong	tuN
579	动	dong	tuN
580	栋	dong	tuN
581	侗	tong	thuN
582	恫	tong	thuN
583	冻	dong	tuN
584	洞	dong	tuN
585	兜	dou	t«u
586	抖	dou	t«u
587	斗	dou	t«u
588	陡	dou	t«u
589	豆	dou	t«u
590	逗	dou	t«u
591	痘	dou	t«u
592	都	dou	t«u
593	督	du	tu
594	毒	du	tu
595	犊	du	tu
596	独	du	tu
597	读	du	tu
598	堵	du	tu
599	睹	du	tu
600	赌	du	tu
601	杜	du	tu
602	镀	du	tu
603	肚	du	tu
604	度	duo	tu«
605	渡	du	tu
606	妒	du	tu
607	端	duan	tuan
608	短	duan	tuan
609	锻	duan	tuan
610	段	duan	tuan
611	断	duan	tuan
612	缎	duan	tuan
613	堆	zui	tsu«i
614	兑	dui	tu«i
615	队	dui	tu«i
616	对	dui	tu«i
617	墩	dun	tu«n
618	吨	dun	tu«n
619	蹲	dun	tu«n
620	敦	dun	tu«n
621	顿	dun	tu«n
622	囤	tun	thu«n
623	钝	dun	tu«n
624	盾	dun	tu«n
625	遁	dun	tu«n
626	掇	duo	tu«
627	哆	duo	tu«
628	多	duo	tu«
629	夺	duo	tu«
630	垛	duo	tu«
631	躲	duo	tu«
632	朵	duo	tu«
633	跺	duo	tu«
634	舵	tuo	thu«
635	剁	duo	tu«
636	惰	duo	tu«
637	堕	hui	xu«i
638	蛾	yi	i
639	峨	e	«
640	鹅	e	«
641	俄	e	«
642	额	e	«
643	讹	e	«
644	娥	e	«
645	恶	wu	u
646	厄	e	«
647	扼	e	«
648	遏	e	«
649	鄂	e	«
650	饿	e	«
651	恩	en	«n
652	而	er	«r
653	儿	er	«r
654	耳	er	«r
655	尔	er	«r
656	饵	er	«r
657	洱	er	«r
658	二	er	«r
659	贰	er	«r
660	发	fa	fa
661	罚	fa	fa
662	筏	fa	fa
663	伐	fa	fa
664	乏	fa	fa
665	阀	fa	fa
666	法	fa	fa
667	珐	fa	fa
668	藩	fan	fan
669	帆	fan	fan
670	番	fan	fan
671	翻	fan	fan
672	樊	fan	fan
673	矾	fan	fan
674	钒	fan	fan
675	繁	po	ph«
676	凡	fan	fan
677	烦	fan	fan
678	反	fan	fan
679	返	fan	fan
680	范	fan	fan
681	贩	fan	fan
682	犯	fan	fan
683	饭	fan	fan
684	泛	fan	fan
685	坊	fang	faN
686	芳	fang	faN
687	方	fang	faN
688	肪	fang	faN
689	房	fang	faN
690	防	fang	faN
691	妨	fang	faN
692	仿	fang	faN
693	访	fang	faN
694	纺	fang	faN
695	放	fang	faN
696	菲	fei	f«i
697	非	fei	f«i
698	啡	fei	f«i
699	飞	fei	f«i
700	肥	fei	f«i
701	匪	fei	f«i
702	诽	fei	f«i
703	吠	fei	f«i
704	肺	fei	f«i
705	废	fei	f«i
706	沸	fei	f«i
707	费	fei	f«i
708	芬	fen	f«n
709	酚	fen	f«n
710	吩	fen	f«n
711	氛	fen	f«n
712	分	fen	f«n
713	纷	fen	f«n
714	坟	fen	f«n
715	焚	fen	f«n
716	汾	fen	f«n
717	粉	fen	f«n
718	奋	fen	f«n
719	份	fen	f«n
720	忿	fen	f«n
721	愤	fen	f«n
722	粪	fen	f«n
723	丰	feng	f«N
724	封	feng	f«N
725	枫	feng	f«N
726	蜂	feng	f«N
727	峰	feng	f«N
728	锋	feng	f«N
729	风	feng	f«N
730	疯	feng	f«N
731	烽	feng	f«N
732	逢	feng	f«N
733	冯	feng	f«N
734	缝	feng	f«N
735	讽	feng	f«N
736	奉	feng	f«N
737	凤	feng	f«N
738	佛	fo	f«
739	否	fou	f«u
740	夫	fu	fu
741	敷	fu	fu
742	肤	fu	fu
743	孵	fu	fu
744	扶	fu	fu
745	拂	fu	fu
746	辐	fu	fu
747	幅	fu	fu
748	氟	fu	fu
749	符	fu	fu
750	伏	fu	fu
751	俘	fu	fu
752	服	fu	fu
753	浮	fu	fu
754	涪	fu	fu
755	福	fu	fu
756	袱	fu	fu
757	弗	fu	fu
758	甫	fu	fu
759	抚	fu	fu
760	辅	fu	fu
761	俯	fu	fu
762	釜	fu	fu
763	斧	fu	fu
764	脯	pu	phu
765	腑	fu	fu
766	府	fu	fu
767	腐	fu	fu
768	赴	fu	fu
769	副	fu	fu
770	覆	fu	fu
771	赋	fu	fu
772	复	fu	fu
773	傅	fu	fu
774	付	fu	fu
775	阜	fu	fu
776	父	fu	fu
777	腹	fu	fu
778	负	fu	fu
779	富	fu	fu
780	讣	fu	fu
781	附	fu	fu
782	妇	fu	fu
783	缚	fu	fu
784	咐	fu	fu
785	噶	ga	ka
786	嘎	ga	ka
787	该	gai	kai
788	改	gai	kai
789	概	gai	kai
790	钙	gai	kai
791	盖	gai	kai
792	溉	gai	kai
793	干	gan	kan
794	甘	gan	kan
795	杆	gan	kan
796	柑	gan	kan
797	竿	gan	kan
798	肝	gan	kan
799	赶	gan	kan
800	感	gan	kan
801	秆	gan	kan
802	敢	gan	kan
803	赣	gan	kan
804	冈	gang	kaN
805	刚	gang	kaN
806	钢	gang	kaN
807	缸	gang	kaN
808	肛	gang	kaN
809	纲	gang	kaN
810	岗	gang	kaN
811	港	gang	kaN
812	杠	gang	kaN
813	篙	gao	kau
814	皋	gao	kau
815	高	gao	kau
816	膏	gao	kau
817	羔	gao	kau
818	糕	gao	kau
819	搞	gao	kau
820	镐	hao	xau
821	稿	gao	kau
822	告	gao	kau
823	哥	ge	k«
824	歌	ge	k«
825	搁	ge	k«
826	戈	ge	k«
827	鸽	ge	k«
828	胳	ge	k«
829	疙	ge	k«
830	割	ge	k«
831	革	ge	k«
832	葛	ge	k«
833	格	ge	k«
834	蛤	ha	xa
835	阁	ge	k«
836	隔	ge	k«
837	铬	ge	k«
838	个	ge	k«
839	各	ge	k«
840	给	gei	k«i
841	根	gen	k«n
842	跟	gen	k«n
843	耕	geng	k«N
844	更	geng	k«N
845	庚	geng	k«N
846	羹	geng	k«N
847	埂	geng	k«N
848	耿	geng	k«N
849	梗	geng	k«N
850	工	gong	kuN
851	攻	gong	kuN
852	功	gong	kuN
853	恭	gong	kuN
854	龚	gong	kuN
855	供	gong	kuN
856	躬	gong	kuN
857	公	gong	kuN
858	宫	gong	kuN
859	弓	gong	kuN
860	巩	gong	kuN
861	汞	gong	kuN
862	拱	gong	kuN
863	贡	gong	kuN
864	共	gong	kuN
865	钩	gou	k«u
866	勾	gou	k«u
867	沟	gou	k«u
868	苟	gou	k«u
869	狗	gou	k«u
870	垢	gou	k«u
871	构	gou	k«u
872	购	gou	k«u
873	够	gou	k«u
874	辜	gu	ku
875	菇	gu	ku
876	咕	gu	ku
877	箍	gu	ku
878	估	gu	ku
879	沽	gu	ku
880	孤	gu	ku
881	姑	gu	ku
882	鼓	gu	ku
883	古	gu	ku
884	蛊	gu	ku
885	骨	gu	ku
886	谷	yu	y
887	股	gu	ku
888	故	gu	ku
889	顾	gu	ku
890	固	gu	ku
891	雇	gu	ku
892	刮	gua	kua
893	瓜	gua	kua
894	剐	gua	kua
895	寡	gua	kua
896	挂	gua	kua
897	褂	gua	kua
898	乖	guai	kuai
899	拐	guai	kuai
900	怪	guai	kuai
901	棺	guan	kuan
902	关	guan	kuan
903	官	guan	kuan
904	冠	guan	kuan
905	观	guan	kuan
906	管	guan	kuan
907	馆	guan	kuan
908	罐	guan	kuan
909	惯	guan	kuan
910	灌	guan	kuan
911	贯	guan	kuan
912	光	guang	kuaN
913	广	guang	kuaN
914	逛	guang	kuaN
915	瑰	gui	ku«i
916	规	gui	ku«i
917	圭	gui	ku«i
918	硅	gui	ku«i
919	归	gui	ku«i
920	龟	gui	ku«i
921	闺	gui	ku«i
922	轨	gui	ku«i
923	鬼	gui	ku«i
924	诡	gui	ku«i
925	癸	gui	ku«i
926	桂	gui	ku«i
927	柜	gui	ku«i
928	跪	gui	ku«i
929	贵	gui	ku«i
930	刽	gui	ku«i
931	辊	gun	ku«n
932	滚	gun	ku«n
933	棍	gun	ku«n
934	锅	guo	ku«
935	郭	guo	ku«
936	国	guo	ku«
937	果	guo	ku«
938	裹	guo	ku«
939	过	guo	ku«
940	哈	ha	xa
941	骸	hai	xai
942	孩	hai	xai
943	海	hai	xai
944	氦	hai	xai
945	亥	hai	xai
946	害	hai	xai
947	骇	hai	xai
948	酣	han	xan
949	憨	han	xan
950	邯	han	xan
951	韩	han	xan
952	含	han	xan
953	涵	han	xan
954	寒	han	xan
955	函	han	xan
956	喊	han	xan
957	罕	han	xan
958	翰	han	xan
959	撼	han	xan
960	捍	han	xan
961	旱	han	xan
962	憾	han	xan
963	悍	han	xan
964	焊	han	xan
965	汗	han	xan
966	汉	han	xan
967	夯	hang	xaN
968	杭	hang	xaN
969	航	hang	xaN
970	壕	hao	xau
971	嚎	hao	xau
972	豪	hao	xau
973	毫	hao	xau
974	郝	hao	xau
975	好	hao	xau
976	耗	hao	xau
977	号	hao	xau
978	浩	hao	xau
979	呵	a	a
980	喝	he	x«
981	荷	he	x«
982	菏	he	x«
983	核	he	x«
984	禾	he	x«
985	和	he	x«
986	何	he	x«
987	合	he	x«
988	盒	he	x«
989	貉	he	x«
990	阂	he	x«
991	河	he	x«
992	涸	he	x«
993	赫	he	x«
994	褐	he	x«
995	鹤	he	x«
996	贺	he	x«
997	嘿	hei	x«i
998	黑	hei	x«i
999	痕	hen	x«n
1000	很	hen	x«n
1001	狠	hen	x«n
1002	恨	hen	x«n
1003	哼	heng	x«N
1004	亨	heng	x«N
1005	横	heng	x«N
1006	衡	heng	x«N
1007	恒	heng	x«N
1008	轰	hong	xuN
1009	哄	hong	xuN
1010	烘	hong	xuN
1011	虹	hong	xuN
1012	鸿	hong	xuN
1013	洪	hong	xuN
1014	宏	hong	xuN
1015	弘	hong	xuN
1016	红	hong	xuN
1017	喉	hou	x«u
1018	侯	hou	x«u
1019	猴	hou	x«u
1020	吼	hou	x«u
1021	厚	hou	x«u
1022	候	hou	x«u
1023	后	hou	x«u
1024	呼	hu	xu
1025	乎	hu	xu
1026	忽	hu	xu
1027	瑚	hu	xu
1028	壶	hu	xu
1029	葫	hu	xu
1030	胡	hu	xu
1031	蝴	hu	xu
1032	狐	hu	xu
1033	糊	hu	xu
1034	湖	hu	xu
1035	弧	hu	xu
1036	虎	hu	xu
1037	唬	xia	sia
1038	护	hu	xu
1039	互	hu	xu
1040	沪	hu	xu
1041	户	hu	xu
1042	花	hua	xua
1043	哗	hua	xua
1044	华	hua	xua
1045	猾	hua	xua
1046	滑	hua	xua
1047	画	hua	xua
1048	划	hua	xua
1049	化	hua	xua
1050	话	hua	xua
1051	槐	huai	xuai
1052	徊	huai	xuai
1053	怀	huai	xuai
1054	淮	huai	xuai
1055	坏	huai	xuai
1056	欢	huan	xuan
1057	环	huan	xuan
1058	桓	huan	xuan
1059	还	hai	xai
1060	缓	huan	xuan
1061	换	huan	xuan
1062	患	huan	xuan
1063	唤	huan	xuan
1064	痪	huan	xuan
1065	豢	huan	xuan
1066	焕	huan	xuan
1067	涣	huan	xuan
1068	宦	huan	xuan
1069	幻	huan	xuan
1070	荒	huang	xuaN
1071	慌	huang	xuaN
1072	黄	huang	xuaN
1073	磺	huang	xuaN
1074	蝗	huang	xuaN
1075	簧	huang	xuaN
1076	皇	huang	xuaN
1077	凰	huang	xuaN
1078	惶	huang	xuaN
1079	煌	huang	xuaN
1080	晃	huang	xuaN
1081	幌	huang	xuaN
1082	恍	huang	xuaN
1083	谎	huang	xuaN
1084	灰	hui	xu«i
1085	挥	hui	xu«i
1086	辉	hui	xu«i
1087	徽	hui	xu«i
1088	恢	hui	xu«i
1089	蛔	hui	xu«i
1090	回	hui	xu«i
1091	毁	hui	xu«i
1092	悔	hui	xu«i
1093	慧	hui	xu«i
1094	卉	hui	xu«i
1095	惠	hui	xu«i
1096	晦	hui	xu«i
1097	贿	hui	xu«i
1098	秽	hui	xu«i
1099	会	hui	xu«i
1100	烩	hui	xu«i
1101	汇	hui	xu«i
1102	讳	hui	xu«i
1103	诲	hui	xu«i
1104	绘	hui	xu«i
1105	荤	xun	suin
1106	昏	hun	xu«n
1107	婚	hun	xu«n
1108	魂	hun	xu«n
1109	浑	hun	xu«n
1110	混	hun	xu«n
1111	豁	huo	xu«
1112	活	huo	xu«
1113	伙	huo	xu«
1114	火	huo	xu«
1115	获	huo	xu«
1116	或	huo	xu«
1117	惑	huo	xu«
1118	霍	huo	xu«
1119	货	huo	xu«
1120	祸	huo	xu«
1121	击	ji	tsi
1122	圾	ji	tsi
1123	基	ji	tsi
1124	机	ji	tsi
1125	畸	ji	tsi
1126	稽	ji	tsi
1127	积	ji	tsi
1128	箕	ji	tsi
1129	肌	ji	tsi
1130	饥	ji	tsi
1131	迹	ji	tsi
1132	激	ji	tsi
1133	讥	ji	tsi
1134	鸡	ji	tsi
1135	姬	ji	tsi
1136	绩	ji	tsi
1137	缉	ji	tsi
1138	吉	ji	tsi
1139	极	ji	tsi
1140	棘	ji	tsi
1141	辑	ji	tsi
1142	籍	ji	tsi
1143	集	ji	tsi
1144	及	ji	tsi
1145	急	ji	tsi
1146	疾	ji	tsi
1147	汲	ji	tsi
1148	即	ji	tsi
