# http://lingua.mtsu.edu/chinese-computing/phonology/hz2py.php
id	character	syllable	phonemes
2247	躯	qu	tshy
2248	屈	qu	tshy
2249	驱	qu	tshy
2250	渠	qu	tshy
2251	取	qu	tshy
2252	娶	qu	tshy
2253	龋	qu	tshy
2254	趣	qu	tshy
2255	去	qu	tshy
2256	圈	quan	tshyan
2257	颧	quan	tshyan
2258	权	quan	tshyan
2259	醛	quan	tshyan
2260	泉	quan	tshyan
2261	全	quan	tshyan
2262	痊	quan	tshyan
2263	拳	quan	tshyan
2264	犬	quan	tshyan
2265	券	xuan	syan
2266	劝	quan	tshyan
2267	缺	que	tshy«
2268	炔	que	tshy«
2269	瘸	que	tshy«
2270	却	que	tshy«
2271	鹊	que	tshy«
2272	榷	que	tshy«
2273	确	que	tshy«
2274	雀	que	tshy«
2275	裙	qun	tshuin
2276	群	qun	tshuin
2277	然	ran	ran
2278	燃	ran	ran
2279	冉	ran	ran
2280	染	ran	ran
2281	瓤	rang	raN
2282	壤	rang	raN
2283	攘	rang	raN
2284	嚷	rang	raN
2285	让	rang	raN
2286	饶	rao	rau
2287	扰	rao	rau
2288	绕	rao	rau
2289	惹	re	r«
2290	热	re	r«
2291	壬	ren	r«n
2292	仁	ren	r«n
2293	人	ren	r«n
2294	忍	ren	r«n
2295	韧	ren	r«n
2296	任	ren	r«n
2297	认	ren	r«n
2298	刃	ren	r«n
2299	妊	ren	r«n
2300	纫	ren	r«n
2301	扔	reng	r«N
2302	仍	reng	r«N
2303	日	ri	r
2304	戎	rong	ruN
2305	茸	rong	ruN
2306	蓉	rong	ruN
2307	荣	rong	ruN
2308	融	rong	ruN
2309	熔	rong	ruN
2310	溶	rong	ruN
2311	容	rong	ruN
2312	绒	rong	ruN
2313	冗	rong	ruN
2314	揉	rou	r«u
2315	柔	rou	r«u
2316	肉	rou	r«u
2317	茹	ru	ru
2318	蠕	ru	ru
2319	儒	ru	ru
2320	孺	ru	ru
2321	如	ru	ru
2322	辱	ru	ru
2323	乳	ru	ru
2324	汝	ru	ru
2325	入	ru	ru
2326	褥	ru	ru
2327	软	ruan	ruan
2328	阮	ruan	ruan
2329	蕊	rui	ru«i
2330	瑞	rui	ru«i
2331	锐	rui	ru«i
2332	闰	run	ru«n
2333	润	run	ru«n
2334	若	ruo	ru«
2335	弱	ruo	ru«
2336	撒	sa	sa
2337	洒	sa	sa
2338	萨	sa	sa
2339	腮	sai	sai
2340	鳃	sai	sai
2341	塞	sai	sai
2342	赛	sai	sai
2343	三	san	san
2344	伞	san	san
2345	散	san	san
2346	桑	sang	saN
2347	嗓	sang	saN
2348	丧	sang	saN
2349	搔	sao	sau
2350	骚	sao	sau
2351	扫	sao	sau
2352	嫂	sao	sau
2353	瑟	se	s«
2354	色	se	s«
2355	涩	se	s«
2356	森	sen	s«n
2357	僧	seng	s«N
2358	莎	sha	§a
2359	砂	sha	§a
2360	杀	sha	§a
2361	刹	sha	§a
2362	沙	sha	§a
2363	纱	sha	§a
2364	傻	sha	§a
2365	啥	sha	§a
2366	煞	sha	§a
2367	筛	shai	§ai
2368	晒	shai	§ai
2369	珊	shan	§an
2370	苫	shan	§an
2371	杉	shan	§an
2372	山	shan	§an
2373	删	shan	§an
2374	煽	shan	§an
2375	衫	shan	§an
2376	闪	shan	§an
2377	陕	shan	§an
2378	擅	shan	§an
2379	赡	shan	§an
2380	膳	shan	§an
2381	善	shan	§an
2382	汕	shan	§an
2383	扇	shan	§an
2384	缮	shan	§an
2385	商	shang	§aN
2386	伤	shang	§aN
2387	赏	shang	§aN
2388	晌	shang	§aN
2389	上	shang	§aN
2390	尚	shang	§aN
2391	裳	shang	§aN
2392	梢	shao	§au
2393	捎	shao	§au
2394	稍	shao	§au
2395	烧	shao	§au
2396	芍	shao	§au
2397	勺	shao	§au
2398	韶	shao	§au
2399	少	shao	§au
2400	哨	shao	§au
2401	邵	shao	§au
2402	绍	shao	§au
2403	奢	she	§«
2404	赊	she	§«
2405	蛇	she	§«
2406	舌	she	§«
2407	舍	she	§«
2408	赦	she	§«
2409	摄	she	§«
2410	射	she	§«
2411	慑	she	§«
2412	涉	she	§«
2413	社	she	§«
2414	设	she	§«
2415	砷	shen	§«n
2416	申	shen	§«n
2417	呻	shen	§«n
2418	伸	shen	§«n
2419	身	shen	§«n
2420	深	shen	§«n
2421	娠	shen	§«n
2422	绅	shen	§«n
2423	神	shen	§«n
2424	沈	shen	§«n
2425	审	shen	§«n
2426	婶	shen	§«n
2427	甚	shen	§«n
2428	肾	shen	§«n
2429	慎	shen	§«n
2430	渗	shen	§«n
2431	声	sheng	§«N
2432	生	sheng	§«N
2433	甥	sheng	§«N
2434	牲	sheng	§«N
2435	升	sheng	§«N
2436	绳	sheng	§«N
2437	省	sheng	§«N
2438	盛	sheng	§«N
2439	剩	sheng	§«N
2440	胜	sheng	§«N
2441	圣	sheng	§«N
2442	师	shi	§
2443	失	shi	§
2444	狮	shi	§
2445	施	shi	§
2446	湿	shi	§
2447	诗	shi	§
2448	尸	shi	§
2449	虱	shi	§
2450	十	shi	§
2451	石	shi	§
2452	拾	shi	§
2453	时	shi	§
2454	什	shen	§«n
2455	食	shi	§
2456	蚀	shi	§
2457	实	shi	§
2458	识	shi	§
2459	史	shi	§
2460	矢	shi	§
2461	使	shi	§
2462	屎	shi	§
2463	驶	shi	§
2464	始	shi	§
2465	式	shi	§
2466	示	shi	§
2467	士	shi	§
2468	世	shi	§
2469	柿	shi	§
2470	事	shi	§
2471	拭	shi	§
2472	誓	shi	§
2473	逝	shi	§
2474	势	shi	§
2475	是	shi	§
2476	嗜	shi	§
2477	噬	shi	§
2478	适	shi	§
2479	仕	shi	§
2480	侍	shi	§
2481	释	shi	§
2482	饰	shi	§
2483	氏	zhi	ÿ§
2484	市	shi	§
2485	恃	shi	§
2486	室	shi	§
2487	视	shi	§
2488	试	shi	§
2489	收	shou	§«u
2490	手	shou	§«u
2491	首	shou	§«u
2492	守	shou	§«u
2493	寿	shou	§«u
2494	授	shou	§«u
2495	售	shou	§«u
2496	受	shou	§«u
2497	瘦	shou	§«u
2498	兽	shou	§«u
2499	蔬	shu	§u
2500	枢	shu	§u
2501	梳	shu	§u
2502	殊	shu	§u
2503	抒	shu	§u
2504	输	shu	§u
2505	叔	shu	§u
2506	舒	shu	§u
2507	淑	shu	§u
2508	疏	shu	§u
2509	书	shu	§u
2510	赎	shu	§u
2511	熟	shu	§u
2512	薯	shu	§u
2513	暑	shu	§u
2514	曙	shu	§u
2515	署	shu	§u
2516	蜀	shu	§u
2517	黍	shu	§u
2518	鼠	shu	§u
2519	属	shu	§u
2520	术	shu	§u
2521	述	shu	§u
2522	树	shu	§u
2523	束	shu	§u
2524	戍	shu	§u
2525	竖	shu	§u
2526	墅	shu	§u
2527	庶	shu	§u
2528	数	shu	§u
2529	漱	shu	§u
2530	恕	shu	§u
2531	刷	shua	§ua
2532	耍	shua	§ua
2533	摔	shuai	§uai
2534	衰	shuai	§uai
2535	甩	shuai	§uai
2536	帅	shuai	§uai
2537	栓	shuan	§uan
2538	拴	shuan	§uan
2539	霜	shuang	§uaN
2540	双	shuang	§uaN
2541	爽	shuang	§uaN
2542	谁	shei	§«i
2543	水	shui	§u«i
2544	睡	shui	§u«i
2545	税	shui	§u«i
2546	吮	shun	§u«n
2547	瞬	shun	§u«n
2548	顺	shun	§u«n
2549	舜	shun	§u«n
2550	说	shuo	§u«
2551	硕	shuo	§u«
2552	朔	shuo	§u«
2553	烁	shuo	§u«
2554	斯	si	s
2555	撕	si	s
2556	嘶	si	s
2557	思	si	s
2558	私	si	s
2559	司	si	s
2560	丝	si	s
2561	死	si	s
2562	肆	si	s
2563	寺	si	s
2564	嗣	si	s
2565	四	si	s
2566	伺	si	s
2567	似	si	s
2568	饲	si	s
2569	巳	si	s
2570	松	song	suN
2571	耸	song	suN
2572	怂	song	suN
2573	颂	song	suN
2574	送	song	suN
2575	宋	song	suN
2576	讼	song	suN
2577	诵	song	suN
2578	搜	sou	s«u
2579	艘	sou	s«u
2580	擞	sou	s«u
2581	嗽	sou	s«u
2582	苏	su	su
2583	酥	su	su
2584	俗	su	su
2585	素	su	su
2586	速	su	su
2587	粟	su	su
2588	僳	su	su
2589	塑	su	su
2590	溯	su	su
2591	宿	su	su
2592	诉	su	su
2593	肃	su	su
2594	酸	suan	suan
2595	蒜	suan	suan
2596	算	suan	suan
2597	虽	sui	su«i
2598	隋	sui	su«i
2599	随	sui	su«i
2600	绥	sui	su«i
2601	髓	sui	su«i
2602	碎	sui	su«i
2603	岁	sui	su«i
2604	穗	sui	su«i
2605	遂	sui	su«i
2606	隧	sui	su«i
2607	祟	sui	su«i
2608	孙	sun	su«n
2609	损	sun	su«n
2610	笋	sun	su«n
2611	蓑	suo	su«
2612	梭	suo	su«
2613	唆	suo	su«
2614	缩	suo	su«
2615	琐	suo	su«
2616	索	suo	su«
2617	锁	suo	su«
2618	所	suo	su«
2619	塌	ta	tha
2620	他	ta	tha
2621	它	ta	tha
2622	她	ta	tha
2623	塔	ta	tha
2624	獭	ta	tha
2625	挞	ta	tha
2626	蹋	ta	tha
2627	踏	ta	tha
2628	胎	tai	thai
2629	苔	tai	thai
2630	抬	tai	thai
2631	台	tai	thai
2632	泰	tai	thai
2633	太	tai	thai
2634	态	tai	thai
2635	汰	tai	thai
2636	坍	tan	than
2637	摊	tan	than
2638	贪	tan	than
2639	瘫	tan	than
2640	滩	tan	than
2641	坛	tan	than
2642	檀	tan	than
2643	痰	tan	than
2644	潭	tan	than
2645	谭	tan	than
2646	谈	tan	than
2647	坦	tan	than
2648	毯	tan	than
2649	袒	tan	than
2650	碳	tan	than
2651	探	tan	than
2652	叹	tan	than
2653	炭	tan	than
2654	汤	tang	thaN
2655	塘	tang	thaN
2656	搪	tang	thaN
2657	堂	tang	thaN
2658	棠	tang	thaN
2659	膛	tang	thaN
2660	唐	tang	thaN
2661	糖	tang	thaN
2662	倘	tang	thaN
2663	躺	tang	thaN
2664	淌	tang	thaN
2665	趟	tang	thaN
2666	烫	tang	thaN
2667	掏	tao	thau
2668	涛	tao	thau
2669	滔	tao	thau
2670	绦	tao	thau
2671	萄	tao	thau
2672	桃	tao	thau
2673	逃	tao	thau
2674	淘	tao	thau
2675	陶	tao	thau
2676	讨	tao	thau
2677	套	tao	thau
2678	特	te	th«
2679	藤	teng	th«N
2680	腾	teng	th«N
2681	疼	teng	th«N
2682	誊	teng	th«N
2683	梯	ti	thi
2684	剔	ti	thi
2685	踢	ti	thi
2686	锑	ti	thi
2687	提	ti	thi
2688	题	ti	thi
2689	蹄	ti	thi
2690	啼	ti	thi
2691	体	ti	thi
2692	替	ti	thi
2693	嚏	ti	thi
2694	惕	ti	thi
2695	涕	ti	thi
2696	剃	ti	thi
2697	屉	ti	thi
2698	天	tian	thian
2699	添	tian	thian
2700	填	tian	thian
2701	田	tian	thian
2702	甜	tian	thian
2703	恬	tian	thian
2704	舔	tian	thian
2705	腆	tian	thian
2706	挑	tiao	thiau
2707	条	tiao	thiau
2708	迢	tiao	thiau
2709	眺	tiao	thiau
2710	跳	tiao	thiau
2711	贴	tie	thi«
2712	铁	tie	thi«
2713	帖	tie	thi«
2714	厅	ting	thi«N
2715	听	ting	thi«N
2716	烃	ting	thi«N
2717	汀	ting	thi«N
2718	廷	ting	thi«N
2719	停	ting	thi«N
2720	亭	ting	thi«N
2721	庭	ting	thi«N
2722	挺	ting	thi«N
2723	艇	ting	thi«N
2724	通	tong	thuN
2725	桐	tong	thuN
2726	酮	tong	thuN
2727	瞳	tong	thuN
2728	同	tong	thuN
2729	铜	tong	thuN
2730	彤	tong	thuN
2731	童	tong	thuN
2732	桶	tong	thuN
2733	捅	tong	thuN
2734	筒	tong	thuN
2735	统	tong	thuN
2736	痛	tong	thuN
2737	偷	tou	th«u
2738	投	tou	th«u
2739	头	tou	th«u
2740	透	tou	th«u
2741	凸	tu	thu
2742	秃	tu	thu
2743	突	tu	thu
2744	图	tu	thu
2745	徒	tu	thu
2746	途	tu	thu
2747	涂	tu	thu
2748	屠	tu	thu
2749	土	tu	thu
2750	吐	tu	thu
2751	兔	tu	thu
2752	湍	tuan	thuan
2753	团	tuan	thuan
2754	推	tui	thu«i
2755	颓	tui	thu«i
2756	腿	tui	thu«i
2757	蜕	tui	thu«i
2758	褪	tui	thu«i
2759	退	tui	thu«i
2760	吞	tun	thu«n
2761	屯	tun	thu«n
2762	臀	tun	thu«n
2763	拖	tuo	thu«
2764	托	tuo	thu«
2765	脱	tuo	thu«
2766	鸵	tuo	thu«
2767	陀	tuo	thu«
2768	驮	tuo	thu«
2769	驼	tuo	thu«
2770	椭	tuo	thu«
2771	妥	tuo	thu«
2772	拓	tuo	thu«
2773	唾	tuo	thu«
2774	挖	wa	ua
2775	哇	wa	ua
2776	蛙	wa	ua
2777	洼	wa	ua
2778	娃	wa	ua
2779	瓦	wa	ua
2780	袜	wa	ua
2781	歪	wai	uai
2782	外	wai	uai
2783	豌	wan	uan
2784	弯	wan	uan
2785	湾	wan	uan
2786	玩	wan	uan
2787	顽	wan	uan
2788	丸	wan	uan
2789	烷	wan	uan
2790	完	wan	uan
2791	碗	wan	uan
2792	挽	wan	uan
2793	晚	wan	uan
2794	皖	wan	uan
2795	惋	wan	uan
2796	宛	wan	uan
2797	婉	wan	uan
2798	万	wan	uan
2799	腕	wan	uan
2800	汪	wang	uaN
2801	王	wang	uaN
2802	亡	wang	uaN
2803	枉	wang	uaN
2804	网	wang	uaN
2805	往	wang	uaN
2806	旺	wang	uaN
2807	望	wang	uaN
2808	忘	wang	uaN
2809	妄	wang	uaN
2810	威	wei	u«i
2811	巍	wei	u«i
2812	微	wei	u«i
2813	危	wei	u«i
2814	韦	wei	u«i
2815	违	wei	u«i
2816	桅	wei	u«i
2817	围	wei	u«i
2818	唯	wei	u«i
2819	惟	wei	u«i
2820	为	wei	u«i
2821	潍	wei	u«i
2822	维	wei	u«i
2823	苇	wei	u«i
2824	萎	wei	u«i
2825	委	wei	u«i
2826	伟	wei	u«i
2827	伪	wei	u«i
2828	尾	wei	u«i
2829	纬	wei	u«i
2830	未	wei	u«i
2831	蔚	wei	u«i
2832	味	wei	u«i
2833	畏	wei	u«i
2834	胃	wei	u«i
2835	喂	wei	u«i
2836	魏	wei	u«i
2837	位	wei	u«i
2838	渭	wei	u«i
2839	谓	wei	u«i
2840	尉	wei	u«i
2841	慰	wei	u«i
2842	卫	wei	u«i
2843	瘟	wen	u«n
2844	温	wen	u«n
2845	蚊	wen	u«n
2846	文	wen	u«n
2847	闻	wen	u«n
2848	纹	wen	u«n
2849	吻	wen	u«n
2850	稳	wen	u«n
2851	紊	wen	u«n
2852	问	wen	u«n
2853	嗡	weng	u«N
2854	翁	weng	u«N
2855	瓮	weng	u«N
2856	挝	wo	u«
2857	蜗	wo	u«
2858	涡	wo	u«
2859	窝	wo	u«
2860	我	wo	u«
2861	斡	wo	u«
2862	卧	wo	u«
2863	握	wo	u«
2864	沃	wo	u«
2865	巫	wu	u
2866	呜	wu	u
2867	钨	wu	u
2868	乌	wu	u
2869	污	wu	u
2870	诬	wu	u
2871	屋	wu	u
2872	无	wu	u
2873	芜	wu	u
2874	梧	wu	u
2875	吾	wu	u
2876	吴	wu	u
2877	毋	wu	u
2878	武	wu	u
2879	五	wu	u
2880	捂	wu	u
2881	午	wu	u
2882	舞	wu	u
2883	伍	wu	u
2884	侮	wu	u
2885	坞	wu	u
2886	戊	wu	u
2887	雾	wu	u
2888	晤	wu	u
2889	物	wu	u
2890	勿	wu	u
2891	务	wu	u
2892	悟	wu	u
2893	误	wu	u
2894	昔	xi	si
2895	熙	xi	si
2896	析	xi	si
2897	西	xi	si
2898	硒	xi	si
2899	矽	xi	si
2900	晰	xi	si
2901	嘻	xi	si
2902	吸	xi	si
2903	锡	xi	si
2904	牺	xi	si
2905	稀	xi	si
2906	息	xi	si
2907	希	xi	si
2908	悉	xi	si
2909	膝	xi	si
2910	夕	xi	si
2911	惜	xi	si
2912	熄	xi	si
2913	烯	xi	si
2914	溪	xi	si
2915	汐	xi	si
2916	犀	xi	si
2917	檄	xi	si
2918	袭	xi	si
2919	席	xi	si
2920	习	xi	si
2921	媳	xi	si
2922	喜	xi	si
2923	铣	xi	si
2924	洗	xi	si
2925	系	xi	si
2926	隙	xi	si
2927	戏	xi	si
2928	细	xi	si
2929	瞎	xia	sia
2930	虾	xia	sia
2931	匣	xia	sia
2932	霞	xia	sia
2933	辖	xia	sia
2934	暇	xia	sia
2935	峡	xia	sia
2936	侠	xia	sia
2937	狭	xia	sia
2938	下	xia	sia
2939	厦	xia	sia
2940	夏	xia	sia
2941	吓	xia	sia
2942	掀	xian	sian
2943	先	xian	sian
2944	仙	xian	sian
2945	鲜	xian	sian
2946	纤	xian	sian
2947	咸	xian	sian
2948	贤	xian	sian
2949	衔	xian	sian
2950	舷	xian	sian
2951	闲	xian	sian
2952	涎	xian	sian
2953	弦	xian	sian
2954	嫌	xian	sian
2955	显	xian	sian
2956	险	xian	sian
2957	现	xian	sian
2958	献	xian	sian
2959	县	xian	sian
2960	腺	xian	sian
2961	馅	xian	sian
2962	羡	xian	sian
2963	宪	xian	sian
2964	陷	xian	sian
2965	限	xian	sian
2966	线	xian	sian
2967	相	xiang	siaN
2968	厢	xiang	siaN
2969	镶	xiang	siaN
2970	香	xiang	siaN
2971	箱	xiang	siaN
2972	襄	xiang	siaN
2973	湘	xiang	siaN
2974	乡	xiang	siaN
2975	翔	xiang	siaN
2976	祥	xiang	siaN
2977	详	xiang	siaN
2978	想	xiang	siaN
2979	响	xiang	siaN
2980	享	xiang	siaN
2981	项	xiang	siaN
2982	巷	xiang	siaN
2983	橡	xiang	siaN
2984	像	xiang	siaN
2985	向	xiang	siaN
2986	象	xiang	siaN
2987	萧	xiao	siau
2988	硝	xiao	siau
2989	霄	xiao	siau
2990	削	xiao	siau
2991	哮	xiao	siau
2992	嚣	xiao	siau
2993	销	xiao	siau
2994	消	xiao	siau
2995	宵	xiao	siau
2996	淆	xiao	siau
2997	晓	xiao	siau
2998	小	xiao	siau
2999	孝	xiao	siau
3000	校	xiao	siau
3001	肖	xiao	siau
3002	啸	xiao	siau
3003	笑	xiao	siau
3004	效	xiao	siau
3005	楔	xie	si«
3006	些	xie	si«
3007	歇	xie	si«
3008	蝎	xie	si«
3009	鞋	xie	si«
3010	协	xie	si«
3011	挟	xie	si«
3012	携	xie	si«
3013	邪	xie	si«
3014	斜	xie	si«
3015	胁	xie	si«
3016	谐	xie	si«
3017	写	xie	si«
3018	械	xie	si«
3019	卸	xie	si«
3020	蟹	xie	si«
3021	懈	xie	si«
3022	泄	xie	si«
3023	泻	xie	si«
3024	谢	xie	si«
3025	屑	xie	si«
3026	薪	xin	sin
3027	芯	xin	sin
3028	锌	xin	sin
3029	欣	xin	sin
3030	辛	xin	sin
3031	新	xin	sin
3032	忻	xin	sin
3033	心	xin	sin
3034	信	xin	sin
3035	衅	xin	sin
3036	星	xing	si«N
3037	腥	xing	si«N
3038	猩	xing	si«N
3039	惺	xing	si«N
3040	兴	xing	si«N
3041	刑	xing	si«N
3042	型	xing	si«N
3043	形	xing	si«N
3044	邢	xing	si«N
3045	行	xing	si«N
3046	醒	xing	si«N
3047	幸	xing	si«N
3048	杏	xing	si«N
3049	性	xing	si«N
3050	姓	xing	si«N
3051	兄	xiong	siuN
3052	凶	xiong	siuN
3053	胸	xiong	siuN
3054	匈	xiong	siuN
3055	汹	xiong	siuN
3056	雄	xiong	siuN
3057	熊	xiong	siuN
3058	休	xiu	si«u
3059	修	xiu	si«u
3060	羞	xiu	si«u
3061	朽	xiu	si«u
3062	嗅	xiu	si«u
3063	锈	xiu	si«u
3064	秀	xiu	si«u
3065	袖	xiu	si«u
3066	绣	xiu	si«u
3067	墟	xu	sy
3068	戌	xu	sy
3069	需	xu	sy
3070	虚	xu	sy
3071	嘘	xu	sy
3072	须	xu	sy
3073	徐	xu	sy
3074	许	xu	sy
3075	蓄	xu	sy
3076	酗	xu	sy
3077	叙	xu	sy
3078	旭	xu	sy
3079	序	xu	sy
3080	畜	chu	ÿ§hu
3081	恤	xu	sy
3082	絮	xu	sy
3083	婿	xu	sy
3084	绪	xu	sy
3085	续	xu	sy
3086	轩	xuan	syan
3087	喧	xuan	syan
3088	宣	xuan	syan
3089	悬	xuan	syan
3090	旋	xuan	syan
3091	玄	xuan	syan
3092	选	xuan	syan
3093	癣	xuan	syan
3094	眩	xuan	syan
3095	绚	xuan	syan
3096	靴	xue	sy«
3097	薛	xue	sy«
3098	学	xue	sy«
3099	穴	xue	sy«
3100	雪	xue	sy«
3101	血	xue	sy«
3102	勋	xun	suin
3103	熏	xun	suin
3104	循	xun	suin
3105	旬	xun	suin
3106	询	xun	suin
3107	寻	xun	suin
3108	驯	xun	suin
3109	巡	xun	suin
3110	殉	xun	suin
3111	汛	xun	suin
3112	训	xun	suin
3113	讯	xun	suin
3114	逊	xun	suin
3115	迅	xun	suin
3116	压	ya	ia
3117	押	ya	ia
3118	鸦	ya	ia
3119	鸭	ya	ia
3120	呀	ya	ia
3121	丫	ya	ia
3122	芽	ya	ia
3123	牙	ya	ia
3124	蚜	ya	ia
3125	崖	ya	ia
3126	衙	ya	ia
3127	涯	ya	ia
3128	雅	ya	ia
3129	哑	ya	ia
3130	亚	ya	ia
3131	讶	ya	ia
3132	焉	yan	ian
3133	咽	yan	ian
3134	阉	yan	ian
3135	烟	yan	ian
3136	淹	yan	ian
3137	盐	yan	ian
3138	严	yan	ian
3139	研	yan	ian
3140	蜒	yan	ian
3141	岩	yan	ian
3142	延	yan	ian
3143	言	yan	ian
3144	颜	yan	ian
3145	阎	yan	ian
3146	炎	yan	ian
3147	沿	yan	ian
3148	奄	yan	ian
3149	掩	yan	ian
3150	眼	yan	ian
3151	衍	yan	ian
3152	演	yan	ian
3153	艳	yan	ian
3154	堰	yan	ian
3155	燕	yan	ian
3156	厌	yan	ian
3157	砚	yan	ian
3158	雁	yan	ian
3159	唁	yan	ian
3160	彦	yan	ian
3161	焰	yan	ian
3162	宴	yan	ian
3163	谚	yan	ian
3164	验	yan	ian
3165	殃	yang	iaN
3166	央	yang	iaN
3167	鸯	yang	iaN
3168	秧	yang	iaN
3169	杨	yang	iaN
3170	扬	yang	iaN
3171	佯	yang	iaN
3172	疡	yang	iaN
3173	羊	yang	iaN
3174	洋	yang	iaN
3175	阳	yang	iaN
3176	氧	yang	iaN
3177	仰	yang	iaN
3178	痒	yang	iaN
3179	养	yang	iaN
3180	样	yang	iaN
3181	漾	yang	iaN
3182	邀	yao	iau
3183	腰	yao	iau
3184	妖	yao	iau
3185	瑶	yao	iau
3186	摇	yao	iau
3187	尧	yao	iau
3188	遥	yao	iau
3189	窑	yao	iau
3190	谣	yao	iau
3191	姚	yao	iau
3192	咬	yao	iau
3193	舀	yao	iau
3194	药	yao	iau
3195	要	yao	iau
3196	耀	yao	iau
3197	椰	ye	i«
3198	噎	ye	i«
3199	耶	ye	i«
3200	爷	ye	i«
3201	野	ye	i«
3202	冶	ye	i«
3203	也	ye	i«
3204	页	ye	i«
3205	掖	ye	i«
3206	业	ye	i«
3207	叶	ye	i«
3208	曳	ye	i«
3209	腋	ye	i«
3210	夜	ye	i«
3211	液	ye	i«
3212	一	yi	i
3213	壹	yi	i
3214	医	yi	i
3215	揖	yi	i
3216	铱	yi	i
3217	依	yi	i
3218	伊	yi	i
3219	衣	yi	i
3220	颐	yi	i
3221	夷	yi	i
3222	遗	yi	i
3223	移	yi	i
3224	仪	yi	i
3225	胰	yi	i
3226	疑	yi	i
3227	沂	yi	i
3228	宜	yi	i
3229	姨	yi	i
3230	彝	yi	i
3231	椅	yi	i
3232	蚁	yi	i
3233	倚	yi	i
3234	已	yi	i
3235	乙	yi	i
3236	矣	yi	i
3237	以	yi	i
3238	艺	yi	i
3239	抑	yi	i
3240	易	yi	i
3241	邑	yi	i
3242	屹	yi	i
3243	亿	yi	i
3244	役	yi	i
3245	臆	yi	i
3246	逸	yi	i
3247	肄	yi	i
3248	疫	yi	i
3249	亦	yi	i
3250	裔	yi	i
3251	意	yi	i
3252	毅	yi	i
3253	忆	yi	i
3254	义	yi	i
3255	益	yi	i
3256	溢	yi	i
3257	诣	yi	i
3258	议	yi	i
3259	谊	yi	i
3260	译	yi	i
3261	异	yi	i
3262	翼	yi	i
3263	翌	yi	i
3264	绎	yi	i
3265	茵	yin	in
3266	荫	yin	in
3267	因	yin	in
3268	殷	yin	in
3269	音	yin	in
3270	阴	yin	in
3271	姻	yin	in
3272	吟	yin	in
3273	银	yin	in
3274	淫	yin	in
3275	寅	yin	in
3276	饮	yin	in
3277	尹	yin	in
3278	引	yin	in
3279	隐	yin	in
3280	印	yin	in
3281	英	ying	i«N
3282	樱	ying	i«N
3283	婴	ying	i«N
3284	鹰	ying	i«N
3285	应	ying	i«N
3286	缨	ying	i«N
3287	莹	ying	i«N
3288	萤	ying	i«N
3289	营	ying	i«N
3290	荧	ying	i«N
3291	蝇	ying	i«N
3292	迎	ying	i«N
3293	赢	ying	i«N
3294	盈	ying	i«N
3295	影	ying	i«N
3296	颖	ying	i«N
3297	硬	ying	i«N
3298	映	ying	i«N
3299	哟	yo
3300	拥	yong	iuN
3301	佣	yong	iuN
3302	臃	yong	iuN
3303	痈	yong	iuN
3304	庸	yong	iuN
3305	雍	yong	iuN
3306	踊	yong	iuN
3307	蛹	yong	iuN
3308	咏	yong	iuN
3309	泳	yong	iuN
3310	涌	yong	iuN
3311	永	yong	iuN
3312	恿	yong	iuN
3313	勇	yong	iuN
3314	用	yong	iuN
3315	幽	you	i«u
3316	优	you	i«u
3317	悠	you	i«u
3318	忧	you	i«u
3319	尤	you	i«u
3320	由	you	i«u
3321	邮	you	i«u
3322	铀	you	i«u
3323	犹	you	i«u
3324	油	you	i«u
3325	游	you	i«u
3326	酉	you	i«u
3327	有	you	i«u
3328	友	you	i«u
3329	右	you	i«u
3330	佑	you	i«u
3331	釉	you	i«u
3332	诱	you	i«u
3333	又	you	i«u
3334	幼	you	i«u
3335	迂	yu	y
3336	淤	yu	y
3337	于	yu	y
3338	盂	yu	y
3339	榆	yu	y
3340	虞	yu	y
3341	愚	yu	y
3342	舆	yu	y
3343	余	yu	y
3344	俞	yu	y
3345	逾	yu	y
3346	鱼	yu	y
3347	愉	yu	y
3348	渝	yu	y
3349	渔	yu	y
3350	隅	yu	y
3351	予	yu	y
3352	娱	yu	y
3353	雨	yu	y
3354	与	yu	y
3355	屿	yu	y
3356	禹	yu	y
3357	宇	yu	y
3358	语	yu	y
3359	羽	yu	y
3360	玉	yu	y
3361	域	yu	y
3362	芋	yu	y
3363	郁	yu	y
3364	吁	yu	y
3365	遇	yu	y
3366	喻	yu	y
3367	峪	yu	y
3368	御	yu	y
3369	愈	yu	y
3370	欲	yu	y
3371	狱	yu	y
3372	育	yu	y
3373	誉	yu	y
3374	浴	yu	y
3375	寓	yu	y
3376	裕	yu	y
3377	预	yu	y
3378	豫	yu	y
3379	驭	yu	y
3380	鸳	yuan	yan
3381	渊	yuan	yan
3382	冤	yuan	yan
3383	元	yuan	yan
3384	垣	yuan	yan
3385	袁	yuan	yan
3386	原	yuan	yan
3387	援	yuan	yan
3388	辕	yuan	yan
3389	园	yuan	yan
3390	员	yuan	yan
3391	圆	yuan	yan
3392	猿	yuan	yan
3393	源	yuan	yan
3394	缘	yuan	yan
3395	远	yuan	yan
3396	苑	yuan	yan
3397	愿	yuan	yan
3398	怨	yuan	yan
3399	院	yuan	yan
3400	曰	yue	y«
3401	约	yue	y«
3402	越	yue	y«
3403	跃	yue	y«
3404	钥	yao	iau
3405	岳	yue	y«
3406	粤	yue	y«
3407	月	yue	y«
3408	悦	yue	y«
