# http://lingua.mtsu.edu/chinese-computing/phonology/syllabletone.php
id	pinyin	frequency	phonemes
309	hao3	1681	xau
310	hao4	516354	xau
311	he2	358767	x«
312	he4	1276446	x«
313	hei1	84324	x«i
314	hen2	7805	x«n
315	hen3	295368	x«n
316	hen4	18702	x«n
317	heng1	13264	x«N
318	heng2	27202	x«N
319	heng4	17912	x«N
320	hong1	21041	xuN
321	hong2	125266	xuN
322	hong4	3660	xuN
323	hou2	11815	x«u
324	hou3	5814	x«u
325	hou4	731776	x«u
326	hu1	168541	xu
327	hu2	94403	xu
328	hu4	208731	xu
329	hua1	103367	xua
330	hua2	19759	xua
331	hua4	684865	xua
332	huai2	55976	xuai
333	huai4	41723	xuai
334	huan1	55294	xuan
335	huan2	59522	xuan
336	huan3	25455	xuan
337	huan4	92677	xuan
338	huang1	29073	xuaN
339	huang2	136142	xuaN
340	huang3	10468	xuaN
341	huang4	9157	xuaN
342	hui1	105664	xu«i
343	hui2	239243	xu«i
344	hui3	32258	xu«i
345	hui4	803965	xu«i
346	hun1	47210	xu«n
347	hun2	24671	xu«n
348	hun4	24605	xu«n
349	huo2	189876	xu«
350	huo3	126484	xu«
351	huo4	395664	xu«
352	ji1	798348	tsi
353	ji2	831401	tsi
354	ji3	459485	tsi
355	ji4	888717	tsi
356	jia1	267922	tsia
357	jia2	12599	tsia
358	jia3	32247	tsia
359	jia4	228475	tsia
360	jia5	509790	tsia
361	jian1	125358	tsian
362	jian3	158877	tsian
363	jian4	1167654	tsian
364	jiang1	85310	tsiaN
365	jiang3	119214	tsiaN
366	jiang4	306526	tsiaN
367	jiao1	178197	tsiau
368	jiao3	118578	tsiau
369	jiao4	407110	tsiau
370	jie1	276646	tsi«
371	jie2	339958	tsi«
372	jie3	41762	tsi«
373	jie4	450949	tsi«
374	jin1	332854	tsin
375	jin3	87942	tsin
376	jin4	742278	tsin
377	jing1	285733	tsi«N
378	jing3	120622	tsi«N
379	jing4	779888	tsi«N
380	jiong3	4019	tsiuN
381	jiu1	111268	tsi«u
382	jiu3	201237	tsi«u
383	jiu4	853519	tsi«u
384	ju1	64352	tsy
385	ju2	89572	tsy
386	ju3	75727	tsy
387	ju4	455661	tsy
388	juan1	10426	tsyan
389	juan4	41333	tsyan
390	jue2	384873	tsy«
391	jun1	435026	tsuin
392	jun4	28472	tsuin
393	ka1	8196	kha
394	ka3	52244	kha
395	kai1	377012	khai
396	kai3	21574	khai
397	kan1	32787	khan
398	kan3	11837	khan
399	kan4	424616	khan
400	kang1	39380	khaN
401	kang2	1921	khaN
402	kang4	50658	khaN
403	kao3	87231	khau
404	kao4	42988	khau
405	ke1	188545	kh«
406	ke2	12203	kh«
407	ke3	7395	kh«
408	ke4	1046035	kh«
409	ken3	47955	kh«n
410	keng1	6954	kh«N
411	kong3	56566	khuN
412	kong4	204203	khuN
413	kou3	191936	kh«u
414	kou4	17024	kh«u
415	ku1	29135	khu
416	ku3	63194	khu
417	ku4	40551	khu
418	kua1	7594	khua
419	kua3	2958	khua
420	kua4	9404	khua
